Número de Autorización;Fecha de Transacción;Descripción;Valor Original;Tasa Pactada;Tasa EA Facturada;Cargos y Abonos;Saldo a Diferir;Cuotas
27042;2025-05-29;Pinturas;212593.06;0.008830538768222103;0.012973041320375333;212593.06;0;1/1
38431;2023-03-24;Cafetería;441423.59;0.01894292608162158;0.0186525762493031;441423.59;0;1/1
13624;2022-02-03;Plomería;38704.13;0.022601188329080552;0.007287096072369388;38704.13;0;1/1
92822;2024-01-27;Licorería;89639.63;0.012558108180057898;0.030121669994454706;89639.63;0;1/1
56242;2020-11-19;Tienda de Instrumentos Musicales;194352.47;0.007058353982701879;0.008462886463981007;194352.47;0;1/1
21020;2024-06-20;Nutricionista;177269.21;0.005449344732235293;0.0006263429230480977;177269.21;0;1/1
97266;2021-07-04;Tienda de Deportes;76510.87;0.0005015470643518072;0.03690465513966052;76510.87;0;1/1
96202;2023-01-24;Florería Online;248839.99;0.010454587938514025;0.007300205689129351;248839.99;0;1/1
72473;2021-07-07;Consolas;445519.69;0.015383967758286342;0.03510813256191472;445519.69;0;1/1
40969;2020-04-21;Pago de Servicios (Internet);156923.51;0.007010336662062855;0.03654501135532419;156923.51;0;1/1
91096;2021-04-12;Streaming (Netflix, Spotify);252031.53;0.02301868571186089;0.03908314505398568;252031.53;0;1/1
71077;2020-08-11;Perfumería;289788.38;0.0009925112210785669;0.011940863058501346;289788.38;0;1/1
49806;2020-06-14;Electricista;56551.41;0.004773019761343362;0.03330845652514496;56551.41;0;1/1
93873;2021-05-26;Colegio;167473.82;0.02346560055446019;0.039318258111343984;167473.82;0;1/1
66065;2020-08-14;Ferretería;170620.14;0.009445977899908498;0.03712205900349722;170620.14;0;1/1
80517;2020-01-14;Tienda de Mascotas;69779.1;0.015246893227994246;0.003951730253205907;69779.1;0;1/1
39323;2021-11-18;Pago de Servicios (Agua);405691.99;0.016057877209701366;0.019897813648954727;405691.99;0;1/1
