id_movimiento_tarjeta,fecha,mes,numero_transaccion,nota,valor_movimiento,cuotas_movimiento,id_diferido,fecha_compra,numero_cuotas,cuotas_pagadas,cuota_mensual,valor_total,saldo_pendiente,estado_diferido,delta_mov_vs_saldo,delta_mov_vs_cuota
867,2023-04-10,2023-04,C05126,AVANCE SUCURSAL VIRTUAL,119791.67,24,68.0,2023-04-10,24.0,1.0,5208.33,125000.00,119791.67,activo,0.00,114583.34
869,2023-04-16,2023-04,C06552,AVANCE SUCURSAL VIRTUAL,120059.72,24,69.0,2023-04-16,24.0,4.0,14250.00,342000.00,120059.72,activo,0.00,105809.72
862,2023-04-27,2023-04,C03761,AVANCE SUCURSAL VIRTUAL,95833.33,24,67.0,2023-04-27,24.0,5.0,4166.67,100000.00,95833.33,activo,0.00,91666.66
975,2023-05-10,2023-05,C05126,AVANCE SUCURSAL VIRTUAL,119791.67,24,68.0,2023-04-10,24.0,1.0,5208.33,125000.00,119791.67,activo,0.00,114583.34
976,2023-05-16,2023-05,C06552,AVANCE SUCURSAL VIRTUAL,120059.72,24,69.0,2023-04-16,24.0,4.0,14250.00,342000.00,120059.72,activo,0.00,105809.72
974,2023-05-27,2023-05,C03761,AVANCE SUCURSAL VIRTUAL,95833.33,24,67.0,2023-04-27,24.0,5.0,4166.67,100000.00,95833.33,activo,0.00,91666.66
963,2023-05-29,2023-05,R00760,OPTICA REAL EXPRESS,430000.00,3,73.0,2023-06-29,3.0,0.0,143333.33,430000.00,430000.00,activo,0.00,286666.67
960,2023-06-10,2023-06,C05126,AVANCE SUCURSAL VIRTUAL,119791.67,24,68.0,2023-04-10,24.0,1.0,5208.33,125000.00,119791.67,activo,0.00,114583.34
961,2023-06-16,2023-06,C06552,AVANCE SUCURSAL VIRTUAL,120059.72,24,69.0,2023-04-16,24.0,4.0,14250.00,342000.00,120059.72,activo,0.00,105809.72
959,2023-06-27,2023-06,C03761,AVANCE SUCURSAL VIRTUAL,95833.33,24,67.0,2023-04-27,24.0,5.0,4166.67,100000.00,95833.33,activo,0.00,91666.66
952,2023-06-28,2023-06,C09656,AVANCE SUCURSAL VIRTUAL,201250.00,24,71.0,2023-08-28,24.0,3.0,9583.33,230000.00,201250.00,activo,0.00,191666.67
958,2023-06-29,2023-06,R00760,OPTICA REAL EXPRESS,430000.00,3,73.0,2023-06-29,3.0,0.0,143333.33,430000.00,430000.00,activo,0.00,286666.67
949,2023-07-10,2023-07,C05126,AVANCE SUCURSAL VIRTUAL,119791.67,24,68.0,2023-04-10,24.0,1.0,5208.33,125000.00,119791.67,activo,0.00,114583.34
945,2023-07-15,2023-07,C06654,AVANCE SUCURSAL VIRTUAL,220000.00,24,70.0,2023-08-15,24.0,2.0,10000.00,240000.00,220000.00,activo,0.00,210000.00
